"id","active","factor_inv","create_uid/id","create_date","write_uid/id","write_date","factor","rounding","uom_type","name","category_id/id"
"product.product_uom_lb","True","0.453592909436","base.user_admin","2015-11-16 14:46:51","base.user_admin","2015-11-16 14:46:51","2.20462","0.01","Smaller than the reference Unit of Measure","lb(s)","product.product_uom_categ_kgm"
"product.product_uom_litre","True","1.0","base.user_admin","2013-04-06 00:07:48","base.user_admin","2013-04-06 00:07:48","1.0","0.01","Reference Unit of Measure for this category","Liter(s)","product.product_uom_categ_vol"
"product.product_uom_meter","True","1.0","base.user_admin","2011-08-31 14:24:32","base.user_admin","2015-12-14 14:27:13","1.0","0.01","Reference Unit of Measure for this category","m","product.uom_categ_length"
"product.product_uom_mile","True","1609.34","base.user_admin","2015-11-16 14:46:51","base.user_admin","2015-11-16 14:46:51","0.00062137273665","0.01","Bigger than the reference Unit of Measure","mile(s)","product.uom_categ_length"
"__export__.product_uom_67","True","0.001","__export__.res_users_77","2014-08-01 16:37:55","base.user_admin","2015-12-14 14:27:01","1000.0","0.01","Smaller than the reference Unit of Measure","mm","product.uom_categ_length"
"product.product_uom_oz","True","0.0283494925441","base.user_admin","2015-11-16 14:46:51","base.user_admin","2015-11-16 14:46:51","35.274","0.01","Smaller than the reference Unit of Measure","oz(s)","product.product_uom_categ_kgm"
"product.product_uom_unit","True","1.0","base.user_admin","2011-08-31 14:24:32","__export__.res_users_117","2015-04-07 22:17:20","1.0","1.0","Reference Unit of Measure for this category","PCE","product.product_uom_categ_unit"
"__export__.product_uom_69","True","1.0","__export__.res_users_77","2014-09-10 16:37:13","__export__.res_users_77","2014-09-10 16:43:48","1.0","0.01","Reference Unit of Measure for this category","PCE DO NOT USE!!!!!","product.product_uom_categ_unit"
"__export__.product_uom_19","True","10.0","base.user_admin","2011-11-27 17:34:53","base.user_admin","2011-11-27 17:35:03","0.1","0.01","Bigger than the reference Unit of Measure","pkg, 10","product.product_uom_categ_unit"
"__export__.product_uom_13","True","100.0","base.user_admin","2011-10-13 10:45:04","__export__.res_users_25","2014-06-17 20:18:34","0.01","0.01","Bigger than the reference Unit of Measure","pkg, 100","product.product_uom_categ_unit"
"__export__.product_uom_24","True","1000.0","__export__.res_users_4","2011-12-08 21:08:18","__export__.res_users_4","2011-12-08 21:08:42","0.001","0.01","Bigger than the reference Unit of Measure","pkg, 1000","product.product_uom_categ_unit"
"__export__.product_uom_57","True","1008.0","__export__.res_users_61","2013-12-27 21:44:32","__export__.res_users_61","2013-12-27 21:44:32","0.000992063492063","0.01","Bigger than the reference Unit of Measure","pkg, 1008","product.product_uom_categ_unit"
"__export__.product_uom_47","True","100.0","__export__.res_users_4","2012-04-09 15:30:59","__export__.res_users_117","2015-04-08 22:54:05","0.01","0.01","Bigger than the reference Unit of Measure","pkg, 100 (OLD DO NOT USE)","product.product_uom_categ_unit"
"__export__.product_uom_14","True","12.0","base.user_admin","2011-10-13 10:55:31","","","0.0833333333333","0.01","Bigger than the reference Unit of Measure","pkg, 12","product.product_uom_categ_unit"
"__export__.product_uom_21","True","1250.0","__export__.res_users_4","2011-12-05 13:53:04","__export__.res_users_4","2011-12-05 13:53:14","0.0008","0.01","Bigger than the reference Unit of Measure","pkg, 1250","product.product_uom_categ_unit"
"__export__.product_uom_72","True","15.0","__export__.res_users_16","2014-09-25 21:37:15","__export__.res_users_16","2014-09-25 21:37:45","0.0666666666667","0.01","Bigger than the reference Unit of Measure","pkg, 15","product.product_uom_categ_unit"
"__export__.product_uom_16","True","16.0","base.user_admin","2011-11-23 07:21:25","base.user_admin","2011-11-23 07:28:45","0.0625","0.01","Bigger than the reference Unit of Measure","pkg, 16","product.product_uom_categ_unit"
"__export__.product_uom_28","True","2.0","__export__.res_users_4","2011-12-09 09:50:56","__export__.res_users_4","2011-12-09 09:51:02","0.5","0.01","Bigger than the reference Unit of Measure","pkg, 2","product.product_uom_categ_unit"
"__export__.product_uom_18","True","20.0","base.user_admin","2011-11-25 13:48:17","__export__.res_users_4","2012-04-09 15:31:09","0.05","0.01","Bigger than the reference Unit of Measure","pkg, 20","product.product_uom_categ_unit"
"__export__.product_uom_34","True","23.9998","__export__.res_users_4","2011-12-11 16:42:45","__export__.res_users_4","2011-12-11 16:42:54","0.0416670138918","0.01","Bigger than the reference Unit of Measure","pkg, 24","product.product_uom_categ_unit"
"__export__.product_uom_98","True","25.0","__export__.res_users_117","2015-04-08 20:14:29","__export__.res_users_117","2015-04-08 20:14:29","0.04","0.01","Bigger than the reference Unit of Measure","pkg, 25","product.product_uom_categ_unit"
"__export__.product_uom_41","True","250.0","__export__.res_users_4","2011-12-25 16:25:50","__export__.res_users_4","2011-12-25 16:26:02","0.004","0.01","Bigger than the reference Unit of Measure","pkg, 250","product.product_uom_categ_unit"
"__export__.product_uom_20","True","3.0","base.user_admin","2011-11-29 15:17:33","base.user_admin","2011-11-29 15:17:42","0.333333333333","0.01","Bigger than the reference Unit of Measure","pkg, 3","product.product_uom_categ_unit"
"__export__.product_uom_86","True","1.0","__export__.res_users_117","2015-01-08 21:52:24","__export__.res_users_117","2015-01-08 21:52:24","1.0","0.01","Reference Unit of Measure for this category","pkg, 30","__export__.product_uom_categ_6"
"__export__.product_uom_25","True","300.03","__export__.res_users_4","2011-12-08 21:23:53","__export__.res_users_4","2011-12-08 21:24:07","0.00333300003333","0.01","Bigger than the reference Unit of Measure","pkg, 300","product.product_uom_categ_unit"
"__export__.product_uom_46","True","35.9997","__export__.res_users_4","2012-03-21 07:42:36","__export__.res_users_4","2012-03-21 07:42:52","0.0277780092612","0.01","Bigger than the reference Unit of Measure","pkg, 36","product.product_uom_categ_unit"
"__export__.product_uom_32","True","4.0","__export__.res_users_4","2011-12-11 16:36:23","__export__.res_users_4","2011-12-11 16:37:11","0.25","0.01","Bigger than the reference Unit of Measure","pkg, 4","product.product_uom_categ_unit"
"__export__.product_uom_44","True","4000.0","__export__.res_users_4","2012-03-05 08:14:46","__export__.res_users_4","2012-03-05 08:14:53","0.00025","0.01","Bigger than the reference Unit of Measure","pkg, 4000","product.product_uom_categ_unit"
"__export__.product_uom_81","True","1.0","__export__.res_users_117","2014-11-04 00:02:11","__export__.res_users_117","2014-11-04 00:02:11","1.0","0.01","Reference Unit of Measure for this category","pkg, 480","product.product_uom_categ_unit"
"__export__.product_uom_31","True","5.0","__export__.res_users_4","2011-12-11 16:32:32","__export__.res_users_4","2011-12-11 16:37:05","0.2","0.01","Bigger than the reference Unit of Measure","pkg, 5","product.product_uom_categ_unit"
"__export__.product_uom_15","True","50.0","base.user_admin","2011-10-13 11:32:56","","","0.02","0.01","Bigger than the reference Unit of Measure","pkg, 50","product.product_uom_categ_unit"
"__export__.product_uom_30","True","500.0","__export__.res_users_4","2011-12-11 16:12:03","__export__.res_users_4","2011-12-11 16:12:13","0.002","0.01","Bigger than the reference Unit of Measure","pkg, 500","product.product_uom_categ_unit"
